IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01348	2	-0.0103564	0.0104027	0.0264535	0.0233118	-0.00520305	0.000805906	0.0142471	0.00450954	0.00470714	-0.000265867
HG01356	1	-0.00940941	0.0132054	0.0231771	0.0160973	-0.00797408	-0.000202485	0.017346	0.00474714	0.00516406	0.00178104
HG01362	1	-0.00645446	0.0135468	0.0194116	0.00830422	-0.00143459	0.00103326	0.0187406	0.00461776	0.00339057	-0.00178693
HG01377	1	-0.00741593	0.0117239	0.0225515	0.0158625	-0.00617366	-0.00061685	0.0198855	0.00104765	0.00513059	-0.00186317
HG01384	2	-0.00911584	0.0156699	0.0203522	0.00667051	-0.00435622	0.00120334	0.0224931	0.00574047	0.00162102	-0.00177194
HG01390	2	0.000582339	0.00669498	0.0207799	0.0183941	-0.00284855	0.000901586	0.0119446	0.00259515	0.00284425	0.00155734
HG01392	1	-0.00408772	0.0144524	0.0171665	0.00492218	-0.00642726	-0.00200055	0.0218828	0.00118589	0.00663587	-0.0116815
HG01447	2	-0.00855343	0.0142208	0.0197846	0.00874831	-0.00309174	-0.000304859	0.0172528	0.00366692	0.00469971	-0.000544524
HG01455	1	-0.0108108	0.00964398	0.029312	0.0240955	-0.00204558	-0.000123693	0.0156053	0.00363572	0.0060872	-0.000938125
HG01464	1	-0.00337277	0.00800759	0.02295	0.0199547	-0.00360529	-0.000487261	0.0142757	0.00238403	-0.00079812	0.00113763
HG01465	2	-0.0106708	0.0188715	0.0190971	0.000833621	-0.00613653	0.0013517	0.0285043	0.00599364	0.00629893	-0.00193799
HG01479	1	-0.00984514	0.0213417	0.0168565	-0.00500884	-0.00613495	-0.00014319	0.0311399	0.00848126	0.00339678	0.000327626
HG01489	2	-0.0103742	0.0211539	0.0152902	-0.00526723	-0.00470566	0.00206567	0.0253147	0.00714223	0.00237579	-0.00229051
HG01492	2	-0.0104278	0.0179593	0.0192618	0.00439823	-0.00584896	0.000278887	0.0222433	0.00779445	0.000577934	-0.000178242
HG01494	1	-0.00811563	0.00703532	0.0278286	0.0278599	-0.00187439	0.00113789	0.0106537	0.00164413	0.00451773	-0.00293227
HG01504	2	-0.010165	0.0263946	0.0113028	-0.0208078	-0.00276911	0.00176217	0.02866	0.00812033	0.000980377	0.00104291
HG01507	2	-0.010066	0.0267518	0.0108239	-0.020037	-0.00440582	0.000513739	0.0231009	0.00544466	0.00471423	-0.000746312
HG01509	1	-0.00959267	0.0265292	0.0104149	-0.0210485	-0.00528919	-0.00130419	0.0254496	0.00565528	4.59321e-05	-0.00240276
HG01512	1	-0.010528	0.0273584	0.0111375	-0.020879	-0.00463841	0.00171018	0.0204477	0.00636285	0.00590706	0.00229666
HG01518	1	-0.0108257	0.0276471	0.0130261	-0.0222116	-0.00361495	0.000238186	0.0211359	0.00642479	0.00878276	-0.00237321
HG01550	1	-0.00895568	0.0161706	0.0199967	0.00615079	-0.00508552	0.000446099	0.0234302	0.00613223	-0.000111345	0.000993031
HG01571	1	-0.013834	0.000215831	0.0414873	0.0566199	-0.00233754	0.000548973	-0.00248559	-0.000392815	-0.00234809	0.00085111
HG01572	2	-0.0152393	-0.0105681	0.0552318	0.0913923	-0.00772658	-0.000683192	-0.0167076	-0.00205288	-0.00231673	0.0048954
HG01577	1	-0.00979724	0.00785066	0.0294626	0.0312756	-0.00484665	-0.000727034	0.00849362	0.0017243	-0.00335194	-0.000289201
HG01589	1	-0.0109972	0.0113	-0.0262887	0.0105871	-0.000166004	-5.34484e-05	-0.000536063	0.000785074	-0.00782725	0.0072119
