IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01840	1	0.0386295	-0.0163529	-0.0609601	0.0423399	0.0268369	0.00418585	0.0267919	-0.0096166	-0.0152707	-0.00763209
HG01841	2	0.0411618	-0.0213179	-0.0611667	-0.00278052	-0.016952	0.000341416	-0.00134754	-0.0187535	-0.014906	0.00627971
HG01842	1	0.0437868	-0.0185119	-0.080358	-0.0183107	-0.0210807	-0.0152853	0.0260676	-0.00811564	-0.0384411	0.0152569
HG01843	2	0.0414576	-0.0232788	-0.0785881	0.00520277	-0.0218886	0.0429693	0.030335	0.0207822	0.00813414	-0.0426298
HG01844	1	0.040619	-0.0215446	-0.0802915	0.0484402	-0.0151432	-0.00625565	-0.0230688	0.000207114	-0.0404882	0.014144
HG01845	2	0.0398418	-0.0152012	-0.0606659	0.0290722	0.00360958	0.011988	0.00452845	0.0174807	-0.000272922	0.0150775
HG01846	1	0.0395917	-0.0194277	-0.0958448	0.0179804	0.00940151	0.0140533	0.0177955	-0.0102846	0.00327531	0.0210711
HG01847	2	0.0429917	-0.0239838	-0.0580033	0.0297318	0.000684409	-0.023486	0.0479037	-0.021554	0.012629	0.0326247
HG01848	2	0.038492	-0.0157992	-0.0769236	0.00788197	0.0112394	-0.0200099	0.0282111	0.00382432	0.00252433	-0.0295477
HG01849	1	0.0427174	-0.019561	-0.0537634	0.0118641	-0.005115	0.0431858	0.027573	-0.00812229	-0.023923	0.0336325
HG01850	2	0.0380743	-0.0202901	-0.0751337	-0.000958577	-0.00532272	-0.00912047	0.00881343	-0.0270241	0.0041954	0.00341431
HG01851	2	0.0422145	-0.0221702	-0.0741444	-0.0167256	-0.044092	0.0243051	0.0435876	0.0196148	-0.00286688	0.0287589
HG01852	1	0.0405659	-0.0225366	-0.0793558	0.0109388	-0.0149658	-0.0100809	-0.0264828	-0.0137421	-0.00970517	0.0222123
HG01853	2	0.0425159	-0.0215325	-0.0777787	0.00329233	-0.0191292	0.00460936	-0.011434	-0.000608267	-0.0081939	-0.0178414
HG01855	2	0.0391668	-0.0184828	-0.071214	-0.0187677	-0.00822424	-0.0167311	0.033331	0.00636195	0.0192135	0.028331
HG01857	2	0.0421475	-0.0215147	-0.0567566	0.00641725	-0.0248874	-0.00620819	-0.0234153	0.0302494	-0.0040094	0.0501682
HG01858	2	0.0432863	-0.0196365	-0.0743365	-0.00231361	-0.00483284	-0.000610938	0.00972212	-0.0179944	0.0246956	-0.0113197
HG01859	2	0.0399239	-0.0176353	-0.0746468	-0.00806821	0.0358547	-0.00408856	-0.0217822	-0.0230513	-0.0108175	0.00917035
HG01860	1	0.046301	-0.0281032	-0.0663665	-0.00408816	0.00313342	0.00362016	0.0142199	0.0128094	-0.0138893	0.00635858
HG01861	1	0.0342966	-0.0123066	-0.0818073	-0.0127878	-0.0254408	-0.0179365	0.00649566	0.052064	0.000902048	0.052102
HG01862	2	0.0366145	-0.012495	-0.0318172	-0.0112002	-0.0094459	0.0287982	0.0202749	-0.0387154	0.00495479	-0.0214059
HG01863	2	0.0379467	-0.0139254	-0.100439	0.0181115	0.02616	0.0109884	-0.0240426	-0.00788572	0.0172727	0.0134958
HG01864	1	0.0372524	-0.0244961	-0.0727191	-0.0116789	-0.0295453	0.0193443	0.0424024	-0.0152768	-0.0579433	0.0512997
HG01865	1	0.0421322	-0.0247264	-0.0662237	0.0105218	-0.0330816	-0.013854	0.0177528	0.0124126	0.0247375	-0.0291198
HG01866	1	0.041656	-0.0224714	-0.106371	0.0313858	0.00462321	-0.0338978	0.0328007	0.0335535	0.0241072	-0.00698463
HG01867	1	0.0404778	-0.0263133	-0.089094	0.0112332	-0.0214093	0.010859	0.0423105	0.0114725	-0.0274602	0.0273079
HG01868	2	0.0453036	-0.0190014	-0.0640636	0.011584	-0.0159591	0.00203521	0.0534478	0.0188869	0.0139391	-0.0242663
HG01869	2	0.0443046	-0.0162543	-0.0714228	-0.00478268	0.00891345	0.0111561	0.0124662	-0.0224294	0.00698428	0.00132163
HG01870	2	0.0417855	-0.0186253	-0.0470041	0.00309171	-0.0037603	-0.00889474	0.0107466	0.0150997	-0.0199607	0.058114
HG01871	2	0.0402186	-0.01591	-0.0689203	0.00613967	0.0158156	-0.00544085	-0.0210552	0.0158932	-0.0088155	-0.00554956
HG01872	1	0.0317732	-0.000159353	-0.0615501	0.00747514	-0.0214287	-0.00594812	-9.45166e-06	0.0479756	0.0226239	0.0344679
HG01873	1	0.0397879	-0.0197331	-0.0609476	-0.0184392	0.018412	-0.0155847	0.0167798	-0.00848331	0.00297549	0.040226
HG01874	2	0.0398169	-0.0130671	-0.0773556	-0.0068222	-0.00215296	-0.028767	0.00900036	0.00649731	0.0127472	0.0133224
HG01878	2	0.0400456	-0.030073	-0.0631994	0.0315911	-0.0238853	0.00668696	0.0552107	0.0137272	0.0285127	0.028928
HG02016	2	0.0445492	-0.036631	-0.0950339	-0.00714116	-0.0451656	0.0110413	0.0651312	-0.0247995	0.0409334	-0.0280198
HG02017	1	0.0413662	-0.024399	-0.0746142	-0.0423001	-0.00765383	-0.0105809	0.0393488	0.0289032	0.00960016	-0.0436781
HG02019	2	0.0392392	-0.0189945	-0.0771598	0.00372007	0.00553693	-0.0194524	0.000210455	-0.0433791	0.00357089	0.00135128
HG02020	1	0.0443557	-0.0192659	-0.0889128	0.00574639	-0.0375592	-0.0230525	0.0445003	0.0143488	-0.0357138	-0.0216206
HG02023	1	0.045295	-0.0280292	-0.0871703	0.00514024	0.016461	-0.0279332	-0.00133679	-0.0246974	-0.0373903	0.021853
HG02025	2	0.0424103	-0.0188565	-0.0623258	0.00325037	-0.00327387	0.012885	0.00727028	0.00573144	-0.0346943	0.0223493
HG02026	1	0.0434549	-0.0245133	-0.0676712	0.00874027	0.0102437	-0.00293195	-0.00392182	-0.00520282	-0.0217363	0.0211887
HG02028	2	0.0421773	-0.0169919	-0.098885	0.00969921	0.0150169	0.0339402	0.0334872	-0.0110972	0.0356155	0.0304099
HG02029	1	0.0249415	0.0118938	-0.00290533	-0.0211763	0.00277788	-0.016277	-0.0369235	-0.0258147	-0.00969193	0.0233701
HG02031	2	0.0389313	-0.00962974	-0.0390561	0.00399967	0.00102444	0.0281838	-0.00373089	-0.0144208	-0.0200612	-0.031921
HG02032	1	0.0263192	0.00958478	-0.0271995	-0.012939	0.00858286	0.0231613	0.0191198	-0.0183539	-0.0424282	-0.0121421
HG02035	1	0.038779	-0.0196254	-0.0535166	0.00557882	-0.0210852	-0.00300711	0.0401945	0.0122885	0.0120575	0.0542334
