IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00146	2	-0.00274644	-0.0437795	-0.0144387	0.0333615	0.0147704	0.0506704	0.0134365	-0.0230297	0.0582111	-0.0107661
HG00148	1	-0.000237522	-0.0646113	-0.0174051	0.0292352	0.0142553	0.0612402	0.0132591	0.0736057	0.0166594	-0.0316201
HG00149	1	-0.000127403	-0.0474331	-0.011348	0.0244831	0.0108261	0.0126752	-0.0624083	-0.0141003	0.071723	-0.0158951
HG00150	2	-0.00134875	-0.0493279	-0.0132555	0.0341612	0.0250333	0.0330597	0.022967	0.0111897	-0.0536676	-0.0704986
HG00151	1	0.00152839	-0.050997	-0.00945809	0.0198566	-0.00460652	0.00878944	0.0350476	0.0216377	-0.0231805	-0.000128034
HG00154	2	-0.00167337	-0.0446118	0.00229454	0.0217347	0.020977	-0.0220504	-0.0352664	0.0650769	0.0544829	0.0263444
HG00155	1	0.00419444	-0.0570249	-0.0243959	0.0391751	0.0037456	0.0343883	-0.0159827	-0.0639938	0.0458633	-0.0187006
HG00157	1	0.00189959	-0.0543869	0.00543815	0.0230883	0.0171323	0.0637221	-0.0257992	0.0409056	-0.00567073	-0.0169105
HG00158	2	0.000381256	-0.0541713	-0.0184186	0.00969652	0.0268005	0.0103476	0.00843021	0.000969046	-0.00151061	-0.0175582
HG00159	1	-0.00304624	-0.0437769	-0.0084826	0.0237028	0.0133322	0.025489	0.030814	0.0438962	0.0322652	0.0237327
HG00160	1	0.000515941	-0.0544576	-0.0289745	0.0211027	0.0226569	0.0169612	-0.0232323	-0.0391341	-0.0045866	0.00961381
HG00171	2	0.0955995	0.044018	0.00687657	-0.0307335	0.0105037	0.0684756	0.00485749	-0.00316237	-0.0314595	-0.0355793
HG00173	2	0.0882901	0.0406794	-0.0139643	0.00255663	0.00471329	-0.0469108	0.013048	0.00355422	-0.000246026	-0.0556909
HG00174	2	0.0661719	0.00944102	0.00397999	-0.000373539	0.00993872	0.0178182	0.0307968	0.00375712	0.0110343	0.0359841
HG00176	2	0.0863785	0.0501215	0.00422103	-0.00628449	0.000182776	0.0137624	-0.00944036	0.0460506	-0.0164225	-0.0239558
HG00177	2	0.0895568	0.0455474	0.0074834	0.00327203	0.0163162	-0.0282693	0.0034431	-0.00944549	-0.00655915	0.0133293
HG00178	2	0.0803278	0.031527	-0.00598098	0.0228236	-0.0182913	0.00535501	0.0634508	0.057566	0.00945785	0.0830282
HG00179	2	0.0791967	0.0250258	-0.0121485	0.00435414	0.0186465	0.0228859	-0.0199777	-0.0251003	-0.0638116	0.0538061
HG00180	2	0.0793805	0.0221755	-0.00840885	0.0227726	0.0379973	0.0318591	-0.112502	-0.083621	-0.0215033	0.00428742
HG00181	1	0.0491752	0.054757	-0.00178816	-0.00126658	-0.00744733	-0.0154934	0.0335308	-0.00247733	-0.0298096	-0.0226158
HG00182	1	0.086028	0.039447	-0.00443205	-0.0239042	-0.041828	-0.0105554	-0.0205812	0.0225034	0.0316301	0.0769871
HG00183	1	0.0898329	0.0385231	0.0132535	-0.0364476	0.000775359	0.0144936	0.0102385	-0.00655516	-0.039706	-0.00300189
HG00185	1	0.0896956	0.0361633	-0.00600773	-0.0174353	0.0159935	-0.0451326	-0.0263978	-0.0137088	-0.027005	-0.0487908
HG00186	1	0.0935183	0.0413918	0.0140148	-0.0112553	-0.0298116	-0.00831487	0.049973	0.013352	-0.0205432	-0.0659156
HG00187	1	0.0976501	0.0674404	0.0338159	-0.0415053	-0.00306861	0.00284677	0.0326379	-0.012857	-0.0170263	-0.0316107
HG00188	1	0.0797341	0.0367782	-0.00752727	0.0207967	-0.00339236	-0.042452	0.0186352	-0.00974046	-0.0369949	0.00827227
HG00189	1	0.0746563	0.0283086	-0.00377094	0.0118539	-0.0306233	0.0101266	0.00831179	0.00369475	-0.0378802	-0.0220056
HG00190	1	0.0672579	0.0165115	-0.00517783	0.012765	0.0318843	0.0173097	0.0299259	-0.00653041	-0.0148583	-0.0905514
HG00231	2	-0.00475231	-0.0505158	-0.0195322	0.0287094	0.000144895	0.0396059	-0.0368235	-0.0226814	0.0301646	0.0577667
HG00232	2	-0.0022069	-0.0621127	-0.0165903	0.0174412	-0.0984983	0.0208216	-0.0621062	0.014834	0.0352481	0.0279462
HG00233	2	-0.00651227	-0.0440454	-0.0202782	0.0400072	-0.00508426	-0.0350837	-0.0456476	0.0820896	-0.0094277	0.0255828
HG00234	1	-0.000681494	-0.0472506	-0.0156498	0.0413916	0.0144873	0.045451	-0.0140816	0.0369791	-0.0505838	0.0140234
HG00235	2	-0.00198945	-0.0591848	-0.0330455	0.0227117	-0.030369	0.0325674	-0.028499	0.0599121	-0.066589	0.0649156
HG00236	2	-0.00360989	-0.0630735	-0.0154735	0.0525368	-0.00447978	0.0139402	-0.111894	0.00910717	0.00920473	0.0110891
HG00237	2	-0.00206605	-0.0538736	0.00500825	0.017359	-0.00214586	0.0766298	-0.0646427	-0.0735869	-0.0180845	0.00825329
HG00238	2	-0.00363179	-0.0737546	-0.0303732	0.180944	-0.582915	-0.0700291	0.0288586	-0.04206	0.00845934	-0.014167
HG00239	2	0.000530616	-0.0541594	-0.0055158	0.0278974	-0.00591613	-0.00333657	-0.0095142	-0.00654925	0.0159844	0.0190159
HG00240	2	-0.00139917	-0.0758118	-0.0238802	0.171928	-0.579292	-0.0427047	0.0274629	-0.0562046	-0.015561	-0.014758
HG00242	1	-0.00217711	-0.0529244	-0.0137595	0.0232701	-0.0291614	-0.0263113	-0.0166522	0.0277416	-0.0524771	-0.00766567
HG00243	1	-0.00154706	-0.0629789	-0.00641933	0.0144805	-0.00619756	0.00399437	-0.0508183	0.0317546	0.0238247	0.0229749
HG00244	1	-0.00699657	-0.0515276	0.00560562	0.0391621	-0.0184955	0.00412178	-0.0350994	0.0581487	-0.0402858	-0.0405964
HG00245	2	-0.000181919	-0.040746	0.00318029	0.0235196	-0.021609	0.0730525	-0.00241245	-0.0461795	0.0658141	-0.0152396
HG00246	1	-0.00332244	-0.0459206	-0.0136931	0.0391305	0.0145809	0.0042633	-0.00679466	0.0493967	0.0240485	0.039663
HG00250	2	-0.0010921	-0.0487661	-0.0193439	0.0343108	0.0163263	2.19109e-05	-0.0384595	-0.0341641	-0.00465425	-0.0324948
HG00251	1	-0.00573763	-0.0538777	0.00430437	0.0210318	-0.0373233	-0.00916599	0.0173716	0.0466513	0.0157938	-0.0229224
HG00252	1	-0.000638907	-0.0538629	-0.0141451	0.00950508	-0.0319684	0.0163358	-0.0599478	-0.0439334	0.026551	0.0445774
HG00253	2	-0.0023466	-0.0651466	-0.00815234	0.0129803	-0.0261095	0.033045	-0.0297874	0.0170404	0.0350161	0.0221483
HG00254	2	-0.00179184	-0.0561795	0.00179534	0.0387486	-0.0162428	0.0835815	-0.0147261	0.0576491	0.0441423	0.00211795
HG00255	2	-0.000808531	-0.0573316	-0.0150521	0.0245387	0.0161412	0.00456536	-0.0830615	-0.0546807	0.0215569	0.0445187
HG00256	1	-0.00127611	-0.0623947	-0.00360061	0.0252745	-0.00126966	0.0206287	-0.0230873	0.0307468	0.0373612	0.0262253
HG00257	2	-0.00378213	-0.051453	-0.0136119	0.00904146	-0.00316597	-0.0120118	-0.0376046	0.0329589	-0.0152288	-0.0181789
HG00258	2	-0.00128998	-0.055788	0.0117292	0.0270825	-0.0131045	-0.00527237	-0.00741927	0.0492297	-0.0323319	0.0248879
HG00259	2	-0.00452546	-0.0480439	-0.0111465	0.0381385	-0.0575326	-0.00177184	-0.045582	0.0180915	-0.0184168	0.0378148
HG00260	1	0.00280515	-0.0481615	-0.00787109	0.0208644	-0.0113582	0.0293565	-0.0593951	-0.0474738	0.0108508	0.081359
HG00261	2	-0.00542283	-0.056778	0.00732133	0.0106215	-0.00700141	0.0216187	0.00548818	0.0300073	0.0721816	-0.0454469
HG00262	2	-0.00044065	-0.0584978	-0.0234844	0.0118841	-0.0100088	0.0120523	0.0465612	0.0372016	-0.0180737	-0.000892605
HG00263	2	-0.00466226	-0.0489406	-0.00837696	0.0131107	0.0223421	0.0293903	0.0364773	0.0282775	0.0153531	0.0566713
HG00264	1	-0.00597066	-0.060144	-0.00410884	0.0359137	-0.0138245	-0.0153942	-0.0808444	0.0206145	0.0379124	0.0305489
HG00265	1	2.82316e-05	-0.063765	-0.00758664	-0.00671572	0.0206405	0.000107887	0.0476749	0.0245078	-0.023595	-0.0155031
HG00266	2	0.0838313	0.0548149	0.00535052	-0.0183934	-0.0223812	-0.0277517	-0.0354611	0.0356819	-0.0131219	-0.0192409
HG00267	1	0.0888783	0.0420007	0.0051941	-0.017672	-0.0108908	0.00204894	-0.0264958	0.069828	0.00645367	0.0255189
HG00268	2	0.0746218	0.0183119	0.0115954	0.0251736	0.00204007	0.0314623	0.0149784	-0.0374441	-0.0121693	-0.0220813
HG00269	2	0.0919907	0.0363843	0.00974341	-0.00386384	-0.0132743	-0.0192797	0.00995613	0.0335631	0.00827	0.037953
HG00271	1	0.103914	0.0571341	0.0148838	-0.00787353	-0.00286245	0.0133564	0.0167599	-0.0401826	0.0337761	-0.0643429
HG00272	2	0.0986053	0.0651294	-0.00438682	-0.00242124	-0.0125154	-0.0147028	-0.0838792	-0.0463622	-0.00638309	-0.0233664
HG00273	1	0.0710445	0.020751	0.0291241	0.000817599	0.0358915	0.0241496	0.0406347	0.0348457	-0.0228961	-0.0209327
HG00274	2	0.0751554	0.032803	0.0166972	0.0136218	0.0133666	-0.00777742	-0.016567	-0.0269904	-0.0180722	-0.0285479
HG00275	2	0.0688204	0.0201946	0.00125202	-0.0265104	0.0293307	-0.00319032	0.0360404	0.0265436	0.0641406	-0.0248197
HG00276	2	0.0834206	0.0453125	-0.00361072	0.00743272	0.0149824	-0.0541688	-0.0529855	-0.0596487	0.0369312	0.0368751
HG00277	1	0.0583031	-0.00100268	-0.0131083	-0.0163506	0.0257522	0.0251748	-0.0288028	0.0181014	-0.0567491	0.0115534
HG00278	1	0.0901078	0.0512856	0.0168396	0.00596388	-0.0196375	0.000974048	0.00403687	0.0625777	-0.0265124	-4.37895e-05
HG00280	1	0.0849499	0.0275841	-0.00334408	-0.0377481	0.00934522	-0.0153626	-0.0694705	0.0304321	-0.0617939	0.0345127
HG00281	2	0.0819653	0.0289466	0.00125304	-0.00654035	-0.0289397	0.0142569	-0.0507828	-0.0477282	0.0349044	0.00498539
HG00282	2	0.0850426	0.0379189	0.000548789	-0.00609033	-0.0150175	-0.0242556	0.00949873	-0.0654589	0.0210938	-0.00770679
HG00284	1	0.0822301	0.0401802	-0.00671771	0.00212621	0.020856	0.0132891	-0.00402674	0.0242125	0.00807835	-0.0818561
HG00285	2	0.0974328	0.0507663	0.00228104	-0.00504108	-0.0116387	-0.0184584	-0.0344321	-0.0642107	0.0508491	-0.00806887
HG00288	2	0.0959828	0.046828	0.00245019	-0.00294587	-0.0191882	0.0155888	0.00764313	-0.0825026	0.0342644	0.0174342
HG00290	1	0.0976242	0.0510081	0.0180522	-0.0107297	-0.0089286	-0.0306847	-0.0107542	0.0277883	-0.0205657	0.00139462
HG00304	2	0.0992231	0.0549032	0.0106721	0.00323675	-0.0174361	0.00661679	-0.0500647	0.0152032	0.0688228	-0.0248249
HG00306	2	0.0662603	0.00749488	-0.00436707	-0.00453685	0.0319176	-0.00432141	-0.0415202	-0.0129907	-0.065638	-0.0147286
HG00308	1	0.0803854	0.0333475	0.0259282	-0.00134661	-0.00261663	0.0253	0.0169024	-0.037865	0.0914466	-0.0460747
HG00309	2	0.080297	0.0310296	0.00861775	-0.00587965	0.0147934	0.00476732	-0.00807918	-0.00409062	-0.00863971	-0.00821841
