IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01092	2	0.053925	-0.09358	-0.0150028	0.0103422	0.00331696	-0.0316523	0.00919886	0.0413444	-0.0614021	-0.154127
HG01094	1	0.0534593	-0.0162713	-0.0515502	-0.00124156	0.0132243	0.0852608	0.0307097	0.0517531	0.0176496	0.0387102
HG01095	2	0.0521995	0.00466	-0.0654613	-0.00291232	0.0383136	-0.0413205	-0.0168528	-0.0320593	-0.0946685	-0.0319959
HG01097	1	0.0491174	0.00234314	-0.0804333	-0.00790949	0.0472617	0.00579786	0.0229843	0.0417133	0.0400994	0.0118298
HG01098	2	0.0514093	0.00777862	-0.079701	-0.0152878	0.0414507	-0.0348564	-0.0304229	-0.0142762	0.0510787	0.0573682
HG01101	1	0.0466915	-0.030659	-0.0610215	0.000367752	0.0164953	0.0304268	0.0156693	-0.108809	0.00212535	-0.0472133
HG01102	2	0.0531616	-0.0415807	-0.0340965	-0.00815865	0.0390453	0.036039	-0.0586526	0.10027	0.0688473	0.0355625
HG01104	1	0.051163	0.0166184	-0.0657471	-0.0136167	-0.0441897	0.0860482	-0.0203005	0.0511957	0.0418656	0.0593567
HG01105	2	0.0590474	0.0275996	-0.0518197	0.00920066	-0.0691029	0.125888	0.0385848	-0.0209185	0.0133516	-0.0293571
HG01107	1	0.0568871	-0.0658657	-0.0318315	-0.00498553	-0.00918428	0.0728473	0.0645908	0.0204423	-0.0450039	-0.0215755
HG01108	2	0.0709096	-0.348891	0.105834	0.0411861	-0.0312946	-0.275405	-0.283227	-0.204552	-0.0677813	0.0523914
HG01110	1	0.0493262	-0.0105078	-0.0313495	0.0115159	-0.0444307	0.00203566	0.0128586	0.0119993	-0.0559834	-0.0503785
HG01111	2	0.0482616	0.00116728	-0.0274201	-0.00500503	-0.0227601	0.042725	-0.0307129	-0.000947086	0.0574837	0.0153917
HG01112	1	0.0592202	0.0926503	0.0432924	0.0484253	-0.178126	-0.135388	-0.000475108	0.0280266	0.0225842	-0.0332581
HG01113	2	0.0222518	0.0713416	0.0802202	0.055227	0.102802	0.0374272	-0.0283349	-0.0542242	0.0478471	-0.0512602
HG01119	2	0.0497126	0.0772152	0.0367927	0.0381936	-0.121768	-0.0496177	0.0151215	0.0794187	-0.027778	-0.0238155
HG01121	1	0.0180545	0.0319812	0.0306541	0.00270416	0.0230357	0.035	-0.0339601	0.088168	-0.0211665	-0.0278461
HG01122	2	0.0318455	0.0274173	0.00600094	0.00686423	-0.00916979	-0.0235643	-0.0697155	-0.0151003	0.0156661	0.00952991
HG01124	1	0.0233145	-0.021708	0.0742709	0.0448569	0.0204268	0.0152785	0.108093	0.0108706	-0.00614842	-0.0140421
HG01125	2	0.028033	0.0131176	0.068547	0.0390849	-0.0241632	0.0174401	-0.0126273	-0.0369963	-0.0238754	0.0674162
HG01130	1	0.0295039	0.0377182	0.0579858	0.0279407	0.0248278	0.0156283	0.00150438	0.00511554	0.0271201	0.00880406
HG01131	2	0.0262269	0.0322156	0.0632757	0.0458298	-0.00414638	-0.014632	0.0747208	-0.0396745	0.0376111	-0.0148656
HG01133	1	0.0439741	0.0761693	0.041494	0.0448696	-0.0974064	-0.029934	0.00963097	0.013118	-0.0248972	-0.00605092
HG01134	2	0.0348617	9.71699e-05	0.0665276	0.039262	0.00655906	-0.00994975	0.0279203	0.0952683	0.0760175	0.0581781
HG01136	1	0.026135	0.0194063	0.0670962	0.034766	0.0584229	-0.0227276	-0.0417202	-0.0536708	-0.024031	0.0563273
HG01137	2	0.00947477	0.0494763	0.0799263	0.0315004	0.101614	0.0338444	0.0246622	-0.0397434	-0.0321462	0.0511438
HG01139	1	0.0216036	-0.0444129	0.0811921	0.0453906	0.00555118	0.042133	0.0355222	0.160225	-0.0808446	0.0113382
HG01140	2	0.022836	0.046475	0.0755678	0.0478645	0.0674691	-0.000394166	0.0562957	-0.0365651	-0.0117537	-0.0802596
HG01142	1	0.0111036	-0.0571381	0.0927621	0.0382016	0.0155436	0.0224235	0.0934721	-0.00528976	-0.0559088	0.00115579
HG01148	1	0.0271204	0.0435774	0.0686983	0.0355898	-0.0137319	0.0131423	-0.0006058	-0.0897992	-0.167028	0.208635
HG01149	2	-0.00410905	-0.0126984	0.0938889	0.019305	0.0617676	0.00313818	0.083224	0.0148558	0.0277468	0.0404497
HG01161	1	0.0478683	-0.0523479	-0.044641	-0.0135593	0.0201255	0.062758	0.0144205	0.0707127	-0.0378175	0.0331841
HG01162	2	0.0455957	0.00116052	-0.0829172	-0.001783	0.0798711	-0.0174318	0.0807039	0.119421	0.012905	-0.102839
HG01164	1	0.0534847	0.00700648	-0.0582812	-0.00581282	-0.0177265	0.0605469	0.0128568	-0.0850517	0.00439186	-0.0223437
HG01167	1	0.0520067	-0.0777767	-0.0323322	-0.00475882	0.0158994	0.0263371	-0.0637417	0.160364	0.0700479	0.0109954
HG01168	2	0.0622547	0.0560301	-0.0559685	-0.000328114	-0.0377512	0.0371234	0.0204648	0.0078752	-0.0509361	-0.00168059
HG01170	1	0.0465816	-0.0129737	-0.0525195	-0.0094016	-0.0375197	0.0942926	-0.00013006	-0.0325838	0.0201439	0.0778065
HG01171	2	0.0506763	-0.0529766	-0.0442988	0.00501001	0.00478882	0.0921943	-0.0172436	-0.0196306	0.0677361	-0.0076941
HG01173	1	0.0641843	0.0331471	-0.0655002	0.0083175	0.0246409	-0.0631012	-0.0123518	0.0369366	-0.00638982	0.0119756
HG01174	2	0.0530433	0.0304741	-0.0618934	0.00378538	0.00344591	0.00626092	0.0351507	-0.0322428	0.108894	0.0301361
HG01176	1	0.0464108	0.0155808	-0.0629318	-0.00193379	-0.00677233	0.0198518	0.0499271	0.0401998	0.00867285	0.0659109
HG01177	2	0.0416175	0.0125562	-0.0942628	-0.0174523	0.0823666	-0.0325798	0.089537	0.0034566	0.00236595	-0.00183183
HG01182	1	0.0479058	-0.0226346	-0.0548848	0.0125395	0.0319409	0.0044608	-0.00425399	-0.0149699	0.0700501	-0.00345279
HG01183	2	0.0458801	-0.0176993	-0.0869742	-0.00628768	0.100435	-0.107552	0.0449735	0.0219205	0.0205968	-0.0367375
HG01187	1	0.0330822	-0.054979	-0.0411916	-0.0117388	0.0670421	0.00491048	0.0771516	0.141244	0.0710197	-0.0545068
HG01188	2	0.0388102	-0.0820706	-0.0435493	-0.0204563	0.0307066	-0.0470296	-0.037828	-0.230999	0.0267486	-0.0715423
HG01190	1	0.0375026	-0.0480296	-0.0676217	-0.00833483	0.0502229	-0.111638	0.0127512	0.0192646	0.150236	0.0691907
HG01191	2	0.0402803	-0.00510997	-0.0697282	-0.010991	0.0739894	-0.0363512	-0.05174	-0.00783756	-0.00903856	-0.0496953
HG01197	1	0.049542	0.0233027	-0.0882928	-0.0100043	0.0582957	-0.119512	-0.0229774	-0.0765403	-0.0710624	-0.0361465
HG01198	2	0.0504366	-0.0522429	-0.0578589	-0.00900859	0.0459405	-0.0353549	0.0142458	0.150596	-0.0766572	0.0856697
HG01200	1	0.0575176	0.0491565	-0.0676155	-0.00870741	-0.0779002	0.101235	0.0475642	-0.0595603	-0.0336929	0.0593942
HG01204	1	0.0500986	0.00270669	-0.0400161	-0.0171807	-0.0228039	0.0702242	0.0119639	0.0428799	-0.0240633	0.0382326
HG01205	2	0.0547455	-0.0030003	-0.044616	-0.0109344	-0.00674617	-0.000370985	0.0657843	-0.00992718	0.0455645	-0.141837
HG01241	1	0.0700446	-0.374461	0.117909	0.0413312	-0.0940634	-0.00759756	0.00714544	0.00672912	-0.0302717	-0.118149
HG01242	2	0.0706448	-0.260488	0.0835374	0.031906	-0.0849313	-0.0267104	-0.167211	-0.107956	-0.010667	0.200214
HG01247	1	0.0468535	-0.0596026	-0.028616	-0.00660807	-0.00851669	0.0753095	-0.0788719	-0.0887755	0.0795224	0.116023
HG01248	2	0.0551478	0.00358682	-0.0559618	0.00213538	-0.0335067	0.0398023	0.0290005	-0.0552532	-0.00941279	0.00612078
HG01250	1	0.0184071	0.0212293	0.0629511	0.0302125	0.0110155	-0.0632276	0.046659	0.054822	-0.0698041	0.0852973
HG01251	2	0.0263599	0.0700352	0.0658114	0.03012	-0.0434728	-0.0281747	0.0275028	0.0849026	-0.0079609	-0.0243832
HG01253	1	0.0330776	0.05762	0.0569582	0.0403296	0.0468804	-0.01372	-0.0140786	0.0275996	0.0573876	0.000422799
HG01254	2	0.022048	-0.0449946	0.102124	0.0374794	0.0452446	0.0180138	0.129354	-0.0527847	0.012984	-0.0474202
HG01256	1	0.0416276	0.0868995	0.0474027	0.0587069	-0.00853419	-0.0325707	-0.0405362	0.0306252	0.0123197	-0.0388405
HG01257	2	0.0200321	0.0648515	0.0585203	0.0498634	0.0197812	-0.0123674	0.0489397	-0.0835274	0.0136863	0.0213819
HG01259	1	0.0507356	0.076729	0.0412877	0.0598582	-0.1625	-0.100564	0.0486842	0.0828025	0.00211485	-0.0542091
HG01260	2	0.0183372	-0.00734319	0.0861247	0.0614321	0.0944724	0.0711884	-0.0799882	0.029716	-0.0248263	-0.0323014
HG01269	2	0.0253365	0.0304592	0.0779661	0.0523493	0.12299	-0.0127819	-0.105023	-0.0257801	0.0546849	-0.062321
HG01271	1	0.0278387	0.0271292	0.0775031	0.0201281	-0.0223717	-0.0103035	0.014527	0.00479488	0.0248343	-0.00624126
HG01272	2	0.0199392	-0.0487747	0.0805791	0.0296286	0.0344267	-0.00872611	0.0726761	0.0261679	0.136041	0.117243
HG01275	2	0.065137	0.100779	0.0327123	0.0520742	-0.227753	-0.136612	0.0191851	0.115046	0.00111108	-0.092578
HG01277	1	0.0106037	0.0593595	0.0741172	0.0380948	0.105283	0.0200233	0.00826354	-0.00786172	0.0150655	0.0902916
