IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG02737	2	-0.0596397	0.0702222	-0.0246993	0.0143282	0.039467	0.00368122	-0.00374764	6.94623e-05	-0.00692304	-0.00467187
HG02774	1	0.00236439	0.0457506	0.0586984	0.0514286	0.00281218	0.0210906	-0.0108271	0.0140004	0.0059904	0.0132808
HG02775	2	0.0221809	0.0399123	0.12328	0.0830141	-0.0186057	0.0393469	-0.0389435	0.0163849	0.0188885	-0.0157814
HG02778	2	0.0259423	0.0427232	0.131742	0.0943612	-0.0280012	0.0434767	-0.0388686	0.0243491	0.0181437	0.0165765
HG02780	1	0.0232981	0.0460395	0.138142	0.0905122	-0.0190657	0.0415327	-0.0311445	0.0258437	0.0071759	-0.00491022
HG02783	1	0.032548	0.0434168	0.133073	0.0798338	-0.0217659	0.0389852	-0.0331038	0.0231693	0.00416476	-1.48814e-05
HG02784	2	0.0188067	0.0401515	0.117755	0.0841972	-0.0170052	0.0320212	-0.0389002	0.0240952	0.011829	0.0116286
HG02786	1	0.0353617	0.0342223	0.157778	0.102682	-0.0392175	0.0393802	-0.0398521	0.0373844	0.0175983	-0.00291349
HG02787	2	0.0269008	0.0422834	0.123971	0.0951905	-0.0203794	0.0344006	-0.0361417	0.00374072	0.00793263	0.0159452
HG02789	1	0.0249648	0.0408736	0.122857	0.0862585	-0.0166025	0.0365652	-0.0280625	0.0219442	0.0032007	-0.00643478
HG02790	2	0.0289514	0.0380463	0.120523	0.0826115	-0.0165695	0.0397178	-0.0252974	0.0107364	0.0137786	0.00120599
HG02792	1	0.033195	0.0356009	0.134496	0.0881739	-0.0299028	0.0470774	-0.0407523	0.0311105	0.00703797	0.0209904
HG02793	2	0.0365472	0.0407007	0.140748	0.0926891	-0.0337942	0.0330216	-0.0405547	0.0253419	0.0248751	-0.00400699
HG03006	1	0.0261797	-0.00814856	0.00821751	0.00248189	-0.00790979	-0.0112694	0.0264884	-0.024128	-0.0532609	-0.0104464
HG03007	2	0.0239183	-0.0114292	0.0151914	-0.0109273	-0.00699048	-0.0164439	0.0323983	-0.0404741	-0.0425875	-0.00984923
HG03009	1	0.0215893	-0.00100287	0.00845065	-0.00882369	0.000447113	-0.0181442	0.0388591	-0.0294452	-0.050804	-0.0058567
HG03012	1	0.0231765	-0.0098158	0.0132772	-0.00923071	-0.0082181	-0.0155423	0.0314667	-0.0296494	-0.0531691	-0.00347975
HG03015	1	0.0272562	0.0405237	0.121926	0.0848951	-0.0191742	0.0311409	-0.0323201	0.0183866	0.0045473	0.000487529
HG03016	2	0.0266337	0.0388126	0.124553	0.0901284	-0.0230537	0.0392788	-0.0327746	0.0194612	0.0104446	0.00638322
HG03018	1	0.0242632	0.0482007	0.126647	0.0846722	-0.0241925	0.0321631	-0.0235053	0.0239192	0.00443442	0.00350473
HG03019	2	0.0296634	0.0389392	0.128286	0.0890143	-0.0263602	0.044188	-0.0295638	0.0197262	0.010695	-0.0147135
HG03021	1	0.0268071	0.0380853	0.121536	0.0818949	-0.0190461	0.0302758	-0.0321206	0.024947	0.00860627	0.0108278
HG03022	2	0.0119377	0.0561387	0.117473	0.0884203	-0.0284597	0.0417247	-0.0485683	0.0229602	0.0119005	-0.0428303
HG03228	1	0.00844657	0.0120414	-0.00405144	-0.00275328	0.00368399	0.000462475	0.020037	-0.015503	-0.0229733	-0.0944441
HG03229	2	0.00810734	0.0217502	-0.00264826	-0.00810401	0.0030568	-0.0116621	0.00947556	-0.0102132	-0.0174306	-0.09696
HG03234	1	-0.0627371	0.0644242	-0.0165735	0.0134527	0.0461098	0.00112075	0.00477172	-0.00394062	-0.0173625	-0.0260986
HG03235	2	-0.0551715	0.0641868	-0.0220674	0.00716797	0.041663	0.000968731	0.0142246	-0.00510475	-0.0125859	-0.00951716
HG03237	1	-0.06696	0.0792224	-0.0287025	0.00955708	0.0491905	0.00560735	0.00195655	-0.00379215	-0.0122087	-0.00946801
HG03238	2	-0.0735479	0.0847463	-0.0292642	0.00713895	0.0665453	0.00274261	-0.00973022	-0.00414301	-0.0100275	0.00905886
HG03488	2	-0.0443565	0.0446634	-0.0108076	0.00503368	0.0333142	0.00884601	0.00683159	-0.0103349	-0.0129201	-0.00800518
HG03490	1	-0.066668	0.0757745	-0.0221616	0.00425966	0.0396299	0.00546253	-0.0146242	0.00131529	-0.00553108	0.00176984
HG03491	2	0.0081041	0.0516771	0.0950009	0.0630675	-0.0115976	0.0345368	-0.0191979	0.0103954	0.01514	-0.00276254
HG03585	1	0.02891	0.000619242	0.0107488	-0.000257465	-0.00331173	-0.0236224	0.0423059	-0.0459051	-0.0739137	0.0078381
HG03589	2	0.0281067	0.00241582	0.00773411	-0.00891401	-0.0118333	-0.00893945	0.043982	-0.029245	-0.0522366	0.0195423
HG03593	1	0.0288638	-0.00192384	0.00591428	-0.00879315	-0.00494061	-0.0172358	0.0446389	-0.0374777	-0.0520237	0.00213029
HG03594	1	0.0184736	-0.000612582	0.00562117	-0.00400464	-0.00773589	-0.0158861	0.0352933	-0.036702	-0.0687469	0.0125558
HG03595	2	0.0243333	0.000499152	0.0134005	-0.0175753	-0.00759275	-0.010223	0.0358161	-0.0388513	-0.0617733	0.000494313
HG03598	2	0.0269996	0.00185276	0.00870407	-0.00954434	-0.00148024	-0.0146652	0.0461612	-0.040032	-0.0621589	-0.0153579
HG03600	1	0.0381952	-0.0250245	0.0133907	-0.00712141	-0.0178335	-0.0166123	0.0203471	-0.027286	-0.033047	-0.022089
HG03603	1	0.0341819	-0.0107348	0.0146657	-0.00992805	-0.012726	-0.0202581	0.030377	-0.0389178	-0.0661024	0.00349729
HG03604	2	0.0259068	-0.00823696	0.0102341	-0.00687295	-0.00800097	-0.01945	0.0391289	-0.0326019	-0.0474243	-0.00713976
HG03607	2	0.0200347	-0.0020344	0.0100029	-0.00807142	-0.00552607	-0.0168608	0.0459378	-0.0461753	-0.0600128	-0.00754398
HG03611	2	0.0246709	0.00126131	0.00423654	-0.00901686	0.00437817	-0.0199621	0.0515595	-0.0320144	-0.054467	-0.00909775
HG03615	1	0.022111	0.00514195	0.00900322	0.000429295	0.000131557	-0.0247269	0.0410596	-0.0427368	-0.0681446	-0.0219565
HG03616	2	0.0160824	0.00190965	0.00877061	-0.0066138	-0.00266879	-0.00318291	0.0517225	-0.0359764	-0.0615732	-0.00530165
HG03619	2	-0.0863545	0.0853608	-0.0299278	0.0105704	0.0493448	0.000253743	0.00937866	0.00368359	-0.0269428	-0.0151543
HG03624	1	-0.0759274	0.0727702	-0.0299999	0.010216	0.0559718	0.00964699	-0.00291546	0.0162617	0.00516253	-0.00233715
HG03625	2	-0.0810754	0.100324	-0.0380179	0.00142573	0.0525065	0.00948194	-0.00773946	0.00106669	-0.0023597	-0.0167529
HG03629	1	-0.0474969	0.0631746	-0.0154507	0.00909915	0.0368842	0.00165104	-0.000768431	-0.00451619	-0.0140497	-0.0141418
HG03631	2	-0.0358399	0.0451793	-0.0207529	0.00749916	0.0394092	0.001104	0.00531083	-0.00505915	-0.0198037	-0.0117719
HG03634	2	-0.0613717	0.0677828	-0.0120079	0.010769	0.0401227	0.000279501	0.00967227	-0.00676085	-0.0266587	-0.0150617
HG03636	1	-0.0382563	0.0447369	-0.00891616	0.00359608	0.0262379	0.0084229	0.0170451	-0.0121583	-0.0246071	-0.011191
HG03640	2	0.0323422	0.0324429	0.120801	0.0709589	-0.0187975	0.0337064	-0.026318	0.0226025	0.008261	0.00212342
HG03642	2	0.0424275	-0.00685637	-0.00216295	-0.021559	-0.0136945	-0.0227106	-0.00592802	0.0139111	0.018576	-0.00835127
