IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03760	2	-0.010753	0.00491852	-0.0390274	0.0170711	0.00128212	-0.000791144	0.00471381	0.000528008	0.0249985	-0.00409663
HG03762	2	-0.0107259	0.00502754	-0.0354278	0.0151049	0.00116401	0.000708247	0.00209435	0.000904358	0.0226851	-0.00161399
HG03765	2	-0.0109055	0.0104	-0.0271223	0.00925602	-0.00133573	-0.000524495	5.29483e-05	-0.000450427	-0.00942914	2.13728e-05
HG03767	1	-0.0108335	0.0146265	-0.0209164	0.0056057	0.00240109	0.000697401	0.00654459	0.00292463	-0.00842602	0.00287743
HG03770	2	-0.01086	0.00193705	-0.0379539	0.0166022	-6.46201e-06	0.000571164	0.00174535	0.000207979	0.0241164	-0.0016149
HG03771	1	-0.0110237	0.00279921	-0.038281	0.0173263	-0.00233693	-0.000496349	0.00021203	0.000624994	0.023614	-0.000602948
HG03772	2	-0.0111352	0.00392109	-0.0438362	0.0217518	-0.00147427	-0.000812712	0.00265639	0.000556245	0.0238023	-0.00639318
HG03773	1	-0.0111278	0.00410209	-0.0438379	0.0202712	-0.000458703	-0.00115795	0.0018215	-0.000788501	0.0190929	-0.00592326
HG03774	2	-0.010904	0.00614414	-0.0385539	0.0168033	0.00083337	-6.61356e-05	0.00501044	0.00276823	0.0282916	3.31374e-05
HG03775	1	-0.0106829	0.00570787	-0.0381962	0.016305	-0.000967849	0.000408005	0.00480207	0.00285398	0.0175944	-0.0024452
HG03777	1	-0.010658	0.0062484	-0.0380282	0.0165572	0.00102368	-0.000304771	0.00207236	0.00203628	0.0145002	-0.000340523
HG03778	1	-0.0110279	0.00416495	-0.0380524	0.0184382	0.00151824	-0.000527837	0.00100032	-0.00115472	0.0237713	-6.88189e-05
HG03779	1	-0.0107362	0.00466056	-0.0377146	0.016766	0.000587227	-0.000888628	-0.000710887	-1.99557e-05	0.0182738	0.0015371
HG03780	2	-0.0107917	0.00628879	-0.0383097	0.0161982	-0.000795975	-0.00174148	0.00540479	0.000456802	0.0200999	-0.00130188
HG03781	2	-0.010931	0.00508675	-0.0369945	0.0161181	0.00158906	-9.3676e-05	-0.00100592	-0.000605263	0.0116129	-0.00426634
HG03782	2	-0.0106028	0.00640472	-0.0380211	0.016587	0.000363331	-0.00025936	0.00499324	-0.00104791	0.025067	0.000744949
HG03784	2	-0.0111247	0.00442052	-0.0427107	0.0200039	-0.000793724	-0.00243957	0.000239088	0.00136023	0.020571	-0.00520525
HG03785	1	-0.0110458	0.00350962	-0.0445029	0.0214919	-0.000587339	-0.00190538	0.00113911	0.00101804	0.0152567	-0.00449986
HG03786	1	-0.0111386	0.00447795	-0.043455	0.0208137	-0.000425601	-0.00114701	0.003646	0.00272502	0.0193244	-0.00702333
HG03787	2	-0.0108766	0.00338071	-0.0412169	0.0189411	-0.000697664	-0.000827106	0.000368941	0.000652585	0.0253273	-0.000709074
HG03788	1	-0.0109017	0.00618479	-0.0358662	0.0161404	-0.000961555	-0.00125695	0.000606392	0.000217819	0.0168737	-0.00154006
HG03789	2	-0.0109928	0.008057	-0.0330016	0.0148118	6.66464e-05	-0.00125586	-0.00223752	0.000115972	0.00664826	2.77466e-05
HG03790	1	-0.0107026	0.00665343	-0.0373014	0.0169819	0.00150864	-0.000609345	0.000379088	0.000285712	0.0187074	-0.00132565
HG03792	1	-0.0107628	0.00607068	-0.0367222	0.0164091	-0.00123796	0.00204162	0.00549846	0.000643197	0.0235448	-0.000671169
HG03793	2	-0.0114124	0.00237953	-0.0346786	0.0163666	0.0018042	-0.00194226	-0.000904876	0.00226074	0.00894978	-0.0015473
