IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA18856	1	0.0190562	0.0201544	0.0303961	-0.0118774	-0.00305865	-0.0017633	-0.00207709	-0.0136051	0.0032246	-0.00298431
NA18858	2	0.0181442	0.0232463	0.0334734	-0.011011	0.00227925	0.0015807	-0.000250089	-0.00442186	-0.00373998	0.00228794
NA18861	2	0.0175973	0.0244111	0.0338435	-0.0121815	0.00368255	-0.0107613	0.00262715	-0.007349	-0.00400622	-0.00129472
NA18864	2	0.0181287	0.0199432	0.0299702	-0.0113775	0.0095936	-0.00408851	-0.00594517	0.00591645	0.00319582	0.00924264
NA18865	1	0.0175534	0.0190614	0.0259886	-0.000589195	0.00103904	0.00892717	-0.00219389	-0.00304995	0.0115977	0.000486731
NA18867	2	0.0172357	0.019312	0.0283825	-0.0138536	0.00315607	0.00685881	-0.00762313	0.00784338	-0.00419601	0.00138163
NA18868	1	0.0198615	0.018869	0.0272627	-0.00176322	0.00012261	0.00409611	-0.00746548	-0.00137652	0.00927599	-0.000176713
NA18870	2	0.0194016	0.0360763	0.0426833	-0.0214597	0.00336447	0.00954093	-0.00308844	-0.00318907	0.000932679	-0.00294146
NA18871	1	0.0216508	0.0256606	0.033059	-0.00895678	0.00902259	-0.00445445	-0.00575174	-0.00271607	0.00589622	0.00945984
NA18873	2	0.0189998	0.023156	0.0275341	-0.0106164	0.00413393	0.00635206	-0.00135823	0.000192341	0.0066575	-0.00264071
NA18874	1	0.0185903	0.0235158	0.0230982	-0.00536139	-0.000477847	0.00289688	0.00606779	0.0059906	-0.00362814	-0.0132073
NA18876	2	0.013859	0.0235514	0.0279703	-0.0112513	-0.00305515	0.0108411	0.00218423	-0.00666742	0.0127393	-0.00801209
NA18877	1	0.0193926	0.0211091	0.0291981	-0.00644158	0.00403949	0.0152124	-0.00772017	0.00180918	0.00212643	-0.0151458
NA18878	2	0.0161005	0.019075	0.0316132	0.000619083	0.0151151	-0.00204754	-1.28605e-05	-0.00418899	0.00731393	-0.00266031
NA18879	1	0.0187384	0.0223097	0.0283535	-0.00220688	-0.00786672	0.00189708	0.00673008	0.00336115	-0.00788305	-0.00886148
NA18881	2	0.020619	0.018275	0.0250442	-0.0141492	-0.00160331	-0.0079782	-0.00865476	-0.00228216	0.00790157	-0.00538493
NA18907	2	0.0179951	0.0267936	0.0308995	-0.011425	0.000342917	0.00514429	-0.000631228	-0.0012424	-0.00111044	-0.00409446
NA18908	1	0.0179503	0.0246924	0.0309857	-0.00474807	0.0106508	0.00331662	0.00444372	0.001215	0.00636079	0.000120313
NA18909	2	0.0187921	0.0271586	0.0363482	-0.0172448	-0.00473847	-0.0101774	-0.00509262	-0.00635329	-0.00193543	-0.0017475
NA18910	1	0.0157745	0.0206942	0.0303225	-0.0150884	-0.00823765	0.00880501	-0.00628326	-0.00191618	-0.000418153	0.00477133
NA18912	2	0.0187824	0.0230071	0.0259264	-0.00134065	-0.00624972	0.00186894	-0.0107426	-0.00837022	0.00628956	0.0117758
NA18915	1	0.0197396	0.0297068	0.0308263	-0.00658728	0.000109639	-0.0013734	-0.0038374	0.00428459	-0.0123393	0.00443183
NA18916	2	0.0189986	0.0241887	0.0321409	-0.00232363	0.00494922	-0.0102394	0.00557855	-0.00791636	0.0147581	0.00820635
NA18917	1	0.0164125	0.0214161	0.0253412	-0.0112647	-0.00595946	0.00304253	0.00415983	0.00633281	-0.00966917	-0.00109647
NA18923	1	0.0188467	0.0277009	0.036522	-0.0120193	0.00250626	0.0221509	0.00856424	0.0120772	0.00432974	-0.00453439
NA18924	2	0.0159091	0.0247242	0.0299566	-0.00863529	-0.00171315	-0.00216778	-0.000630917	0.00768194	-0.000716148	0.00110632
NA18933	2	0.0191761	0.0292311	0.0340767	-0.0152798	0.00125554	0.00926696	-0.000752095	-0.0102356	0.00296088	-0.00439088
NA18934	1	0.0196565	0.0254959	0.0293042	-0.00627737	0.00488536	-0.00587974	-0.00522662	-0.00805691	-0.00428156	-0.00167149
NA19017	2	-0.0281604	0.0539787	-0.0613838	0.00372065	-0.000488072	-0.00707036	0.0103492	-0.00221614	-0.0156825	0.00859428
NA19019	2	-0.0356814	0.0525255	-0.0683547	0.00551081	0.0133947	0.00124774	0.00232298	-0.0118778	0.00120074	0.00470157
NA19020	1	-0.0334286	0.0468538	-0.0664099	0.0044334	0.00217319	-0.000641631	-0.00765165	0.00136704	0.0106928	-0.00175723
NA19023	2	-0.0271019	0.0541855	-0.0578066	-0.00106377	0.00394613	-0.00446659	0.0045095	0.000922817	-0.0116867	0.00224673
NA19024	2	-0.0308003	0.0502574	-0.0627131	0.00278001	-0.00625434	0.000294909	0.0067443	0.00365828	0.000929108	0.00203288
NA19025	1	-0.0326979	0.0593016	-0.0694606	0.00554924	0.000187019	-0.00943817	0.00513757	0.0023069	-0.0141688	0.0034874
